cell,id,temperature,soh,soc,RMS_error,L0,R0,R1,CPE1_0,CPE1_1,R2,CPE2_0,CPE2_1,CPE3_0,CPE3_1
1.0,5203,35.0,99.0,90.0,0.008553444345960849,3.8654627020398184e-07,0.2765616137532551,0.30768900635739665,0.0538587989298623,0.9507269147492791,0.3620307638521384,0.048269316488682455,0.5231186869390013,8.076006676940459,0.6654315715292296
1.0,5209,45.0,99.0,90.0,0.008065728306074089,4.061848283705998e-07,1.5050126878737902,0.24846159422987793,0.05726532867690856,0.9136445298549118,0.2621178484970959,0.05792491460057655,0.5049085015054989,8.089616876267279,0.6817820162551326
1.0,5202,35.0,99.0,50.0,0.002724711186892218,4.748652531956585e-07,0.2520008215621571,0.18974896090645518,0.03458690627943648,0.9099979529014955,0.2590307392203304,0.030486327582942296,0.5670055262545255,10.511013189273504,0.6154299840334428
1.0,5208,45.0,99.0,50.0,0.0019846981744908792,4.765126504668079e-07,1.5482375998657116,0.14768086294362948,0.03162936714713878,0.9068553027780469,0.16950092174180384,0.030243693958452854,0.5766254000978019,11.557354109212033,0.6028763699382849
1.0,5201,35.0,99.0,40.0,0.012932656161780935,4.6813357577473106e-07,0.2566014321011435,0.1939847023600141,0.031214347053649234,0.915602990378236,0.24260238768385695,0.025264416981113938,0.5885716232383775,9.888585546359902,0.5786764647885573
1.0,5207,45.0,99.0,40.0,0.009668558352550346,4.6497548087007636e-07,1.5305540980621521,0.14246568119707867,0.030180079594940505,0.9213402252277947,0.1655835335026803,0.027919041479513736,0.5911027389870042,11.056046548869674,0.5794187083497819
1.0,5198,35.0,99.0,10.0,0.010452608865951259,4.147932378828232e-07,0.2795802064537375,0.30802542898714513,0.06082064822930203,0.9428127349666968,0.3956361024870785,0.06302241875799146,0.48908173588044707,7.93739816164294,0.710638009755798
1.0,5204,45.0,99.0,10.0,0.011591464050219732,4.0340091325983006e-07,1.4246855677026609,0.24920456696802945,0.058410100862583095,0.9149264217736304,0.25829224617820795,0.05675989257113666,0.5121123415467244,7.66156306819848,0.6752769804997193
1.0,5185,25.0,98.0,90.0,0.007106386502636849,4.326609164420949e-07,0.38338752739464393,0.39321962948414846,0.058832665043516814,0.9482301837387493,0.5746644437910318,0.04549577901855495,0.5271029478357085,10.477856536980735,0.6575791140348943
1.0,5191,35.0,98.0,90.0,0.007120226317851456,3.9221018364257234e-07,0.27609340243887015,0.3040595695972799,0.05185268574309906,0.9522801180137771,0.36362556286455183,0.04723125548271339,0.5233880395118145,8.580581956542442,0.6575132959212727
1.0,5197,45.0,98.0,90.0,0.009004805346095126,3.889675817918507e-07,1.6223619738548178,0.25149992969282076,0.052723447933652696,0.9242599498206013,0.25376703390925825,0.04794466722633058,0.5290536879573673,7.868767593162243,0.6475847819730206
1.0,5183,25.0,98.0,50.0,0.002812274144442489,5.289973532098013e-07,0.3546170241900367,0.2788483945249265,0.04160644872211568,0.8563267780394854,0.4135404690294525,0.0374924361934928,0.5342846048547468,9.811274759985643,0.6454571189413388
1.0,5190,35.0,98.0,50.0,0.002656505528355109,4.668085969641593e-07,0.25645147747808184,0.18884156061732588,0.03389862307522949,0.9188639616307155,0.27201407104929837,0.03189136639491363,0.5598142154101475,10.332575427440307,0.6166838175447643
1.0,5196,45.0,98.0,50.0,0.0022671654455428784,4.605514680685071e-07,1.7662516455092683,0.14870392453704728,0.0318168248908426,0.9115860675125281,0.1756791887589912,0.0314777616356303,0.5751047066606475,11.37655620177582,0.6030910871274896
1.0,5182,25.0,98.0,40.0,0.014820152873566833,5.349272566232906e-07,0.3480611312465538,0.18474196274777538,0.04361177895301869,0.9317733445564833,0.5307968259854142,0.05628826888639884,0.48924217976536166,10.155267982884286,0.6942067166140413
1.0,5189,35.0,98.0,40.0,0.012840170161893113,4.5929349012113406e-07,0.26187502341085717,0.19373805164373434,0.03043731201606212,0.9266734395678534,0.25110789284778456,0.024265234625592012,0.5920093980461282,9.485544114489945,0.5751637631759621
1.0,5195,45.0,98.0,40.0,0.013558638733934114,3.13004589154739e-07,0.5258802734924536,0.3082807526103906,0.053788381959263394,0.5969173892004882,2.5908889048270343,0.41404745151253414,9.944534468358809e-39,12.322358219080733,0.6185044278052575
1.0,5179,25.0,98.0,10.0,0.006634818439379279,4.392325712601077e-07,0.37869852454347713,0.3915746630856527,0.06124334368113274,0.952076469229278,0.5901595645698672,0.04757892288382597,0.5224852093462781,10.440987864568593,0.6641497064476879
1.0,5186,35.0,98.0,10.0,0.00808072459350663,3.8152424215838164e-07,0.27437120283626676,0.30311025033575406,0.05280141481180165,0.9549847626919473,0.3654674251368906,0.04834160784665781,0.5228516634417305,8.298036040621966,0.6569578189696063
1.0,5192,45.0,98.0,10.0,0.011083606151671255,4.048303316135822e-07,1.5183928961968962,0.24885060745932167,0.05986144703031697,0.9106207503765749,0.27749806983939806,0.0691114166661639,0.48282783792969375,7.712484686113916,0.6796959798500236
1.0,5160,35.0,97.0,90.0,0.005451786777367872,4.0876850338072865e-07,0.27412252205237214,0.3008292848288023,0.05300416011620733,0.947044027237675,0.3733469853395242,0.05097965324741932,0.5111409923599318,9.07651207260931,0.6746009073870525
1.0,5176,45.0,97.0,90.0,0.008697645095677406,3.8115954918110196e-07,1.3665797191997127,0.25168174068532184,0.051375164713828414,0.9327817201418518,0.259232740205345,0.04880379581739664,0.5280218121615174,7.9095350574171075,0.6357407940722849
1.0,5177,45.0,97.0,90.0,0.008314239688857769,3.8608773589539326e-07,1.3542455761394494,0.25791472594313053,0.049601843337625046,0.5292049914298167,0.24917243407758632,0.05147609784231603,0.9338968919101631,7.955038041357953,0.6350054394009053
1.0,5178,45.0,97.0,90.0,0.007174799050906643,4.183799805442244e-07,1.4627596786050974,0.2803739951125269,0.06633220377315648,0.4842173128397913,0.24596834154015124,0.0562084259485871,0.9218546041335771,8.592448023602566,0.6757882089031056
1.0,5159,35.0,97.0,50.0,0.0038704009608893732,4.6740388458274154e-07,0.2605255594265398,0.1968104886914,0.03294709114451132,0.914799725408023,0.2632455447992159,0.028021176318894517,0.5744781458448575,10.021418186879643,0.6044646761835737
1.0,5173,45.0,97.0,50.0,0.002200847710485851,4.6675254068795357e-07,1.3474075902008709,0.15246699830550506,0.031682901725657554,0.9165307001105479,0.18001987196495034,0.029707681069026465,0.5798577823111786,11.228327393194023,0.601141110117992
1.0,5174,45.0,97.0,50.0,0.0021858795480577515,4.680565066509952e-07,1.3621694760138843,0.14217122212548072,0.03139638963860078,0.9335555060470355,0.1892585296719234,0.03417713547297515,0.5682073883872717,11.394694316471798,0.6066847830017331
1.0,5175,45.0,97.0,50.0,0.0023903865111287665,4.611642362361018e-07,1.54151755589879,0.1468863543307638,0.030940824153514457,0.9239939621380326,0.17804874848169794,0.029987852095579793,0.5844111278541763,11.287274095457223,0.5956061664692615
1.0,5158,35.0,97.0,40.0,0.0161862911861792,3.2025477670064187e-07,0.27767520869269396,0.046684110062092596,113.2237475931537,9.480851000631568e-10,0.46616368434250255,0.05552748867313747,0.557371540162516,12.046263373312309,0.6993190415201181
1.0,5170,45.0,97.0,40.0,0.010445409190891238,4.583109970665209e-07,1.3570961841488487,0.15233506012935805,0.028931059149174907,0.9276084762506429,0.17222305718334188,0.025490991484687957,0.6002324753151538,10.350816505141834,0.5889094448645897
1.0,5171,45.0,97.0,40.0,0.009725431497513736,4.747185524278096e-07,1.3630796025041552,0.14689162702266137,0.032453154938947626,0.9146826970613662,0.1874386765610594,0.03659464018829601,0.5541795314627876,10.876007457115094,0.618864409298427
1.0,5172,45.0,97.0,40.0,0.009737628411048428,4.691832033981831e-07,1.5397213188201626,0.14356471726566405,0.03242895510188325,0.9205305603079312,0.18472150335851137,0.035904853061890236,0.5596329044116778,10.767784244874793,0.6116328528655288
1.0,5155,35.0,97.0,10.0,0.007129036403394499,3.938006900419998e-07,0.2747302341588421,0.3039501129865949,0.05331766969426033,0.9487164694796772,0.37024600082195336,0.050741550370868964,0.514694206397759,8.539220186565737,0.6728342188225295
1.0,5161,45.0,97.0,10.0,0.008790727162730924,4.32195472699688e-07,1.3538166348653102,0.24235902740945012,0.05814925352506294,0.9239532194766391,0.30536508779456306,0.0828254394498723,0.4535013959866775,8.696317194713332,0.6942210896583106
1.0,5162,45.0,97.0,10.0,0.010891063899731783,3.9965348651212703e-07,1.3616367046453817,0.2589609059337776,0.05355273629126164,0.9210772651588605,0.25793480614203057,0.0503924135828095,0.5218536202165088,7.598046975451984,0.6479757366117925
1.0,5163,45.0,97.0,10.0,0.011170132532327855,3.882655705289967e-07,1.4996971049477972,0.2523333300654692,0.05260323276133359,0.9312076194013397,0.2557923405638248,0.04832663120223969,0.5316056257490461,7.528394441357953,0.6374052222558049
1.0,5118,25.0,96.0,90.0,0.007038214416557816,4.3781278535277426e-07,0.3850125749597799,0.3888277876663324,0.058404476859418145,0.9443108589057636,0.5744923802160522,0.04515328480336504,0.5258001914425928,10.507219702354726,0.6667918770772948
1.0,5124,35.0,96.0,90.0,0.005514718204544881,3.896273625378664e-07,0.274115310059867,0.3716336622154448,0.05039175061914695,0.5133968153167808,0.30181271090185735,0.0525368439558436,0.9471048800282357,9.067380782613212,0.6713051309771654
1.0,5150,45.0,96.0,90.0,0.00686003109824607,4.1129964177044826e-07,1.398579179550388,0.2606853193199933,0.05467345026435623,0.9185760392204235,0.27077715211385894,0.057517574407091515,0.5001775757134203,8.26620790555105,0.6651343522399782
1.0,5151,45.0,96.0,90.0,0.008298788114459936,3.9239909647602897e-07,1.37737774517232,0.25590796278857586,0.05100589803526269,0.9334147792965237,0.2600512192880634,0.049059982953692564,0.5246139440591203,7.9329998215134605,0.6299052482175147
1.0,5152,45.0,96.0,90.0,0.006538920482016743,4.1468932063519756e-07,1.3807890130945457,0.2549310264861845,0.0553576833132578,0.9195030422020228,0.27966734174964697,0.06368223181203102,0.48621501318868393,8.654110285855792,0.6706363319853564
1.0,5153,45.0,96.0,90.0,0.00771380784246812,3.8463706250674023e-07,1.4243516659928506,0.25194199291226255,0.05040062696103474,0.9393567955070675,0.26222733131409826,0.04996446545429926,0.5250952091804869,8.088156834194201,0.6322472056145887
1.0,5154,45.0,96.0,90.0,0.007575226311348925,3.9064142060268604e-07,1.365350070995294,0.25158865671444053,0.05125528612632294,0.935402325668713,0.2607004572543574,0.05057278469018459,0.524619203699637,8.121301981483343,0.6336371121620952
1.0,5116,25.0,96.0,50.0,0.003201778667215034,5.058237854215067e-07,0.36092299282763884,0.28689124932088556,0.03995674090347704,0.860256727750374,0.40467128066151903,0.033583392588506435,0.54785227011683,9.480668994367017,0.6281462574866581
1.0,5123,35.0,96.0,50.0,0.012633812679196022,3.204139547557673e-07,0.27742394293441525,0.0411449210988302,117.94414603130244,1.2628445004280215e-20,0.46615191699551095,0.05198654945091966,0.5667656609765821,11.942045694772403,0.6716837371996438
1.0,5145,45.0,96.0,50.0,0.0022582389010084632,4.721519858898733e-07,1.4007357337838546,0.1547073952658434,0.031245735661299328,0.9214580786762478,0.18402659209932423,0.03123781513992864,0.5721042500231546,11.203365306641556,0.6032475417428096
