cell,id,temperature,soh,soc,RMS_error,L0,R0,R1,CPE1_0,CPE1_1,R2,CPE2_0,CPE2_1,CPE3_0,CPE3_1
1.0,5203,35.0,99.0,90.0,0.008553444345960937,3.865462663680752e-07,0.2765616139426488,0.3076889927582449,0.05385879883727863,0.9507269300746993,0.3620307777210358,0.04826932017338249,0.5231186805206545,8.076006677600807,0.6654315711494895
1.0,5209,45.0,99.0,90.0,0.008065728306074256,4.061848853896169e-07,1.505012673115253,0.24846163277967384,0.05726533282192554,0.9136444562351418,0.26211782638851017,0.05792491174768224,0.5049084781211004,8.089616903270334,0.6817820177435486
1.0,5202,35.0,99.0,50.0,0.0027247111868920993,4.748652616954185e-07,0.2520008171482961,0.18974892753176262,0.03458690493018567,0.9099980014463667,0.2590307787348076,0.030486338371090153,0.5670054871757579,10.511013282532243,0.6154299866337947
1.0,5208,45.0,99.0,50.0,0.0019846981744905796,4.765126201145441e-07,1.5482376146592733,0.14768090575085308,0.03162936829299272,0.9068552366611888,0.1695008610342129,0.030243659800113003,0.5766255327104807,11.557353897971703,0.6028763639671414
1.0,5201,35.0,99.0,40.0,0.012932656161781084,4.6813356256602156e-07,0.2566014323957175,0.19398464225565548,0.031214340318316724,0.9156031044454919,0.24260244229192107,0.025264427292224684,0.5885715876860211,9.888585008724748,0.5786764449292932
1.0,5207,45.0,99.0,40.0,0.009668558352550366,4.649754648103506e-07,1.5305541028514267,0.1424656734745584,0.03018007759094612,0.9213402549444721,0.1655835350647882,0.02791903826713163,0.591102761333002,11.056046419317372,0.5794187045507935
1.0,5200,35.0,99.0,30.0,0.12973743106640515,4.173677737756175e-07,0.2843452929580072,0.21364177721152275,0.03012979841977637,0.8969776596739601,0.22252047428341779,0.017717205731582072,0.6278670406005042,5.435580871369672,0.613212703678252
1.0,5206,45.0,99.0,30.0,0.0927801174186594,5.417149808663904e-07,1.3530574003599418,0.07589823610975907,0.02720709676315398,0.9999999999999999,0.4700707996810486,0.32028441962592763,0.25394695231378706,12.980243598344652,0.9999999999999999
1.0,5199,35.0,99.0,20.0,0.10312897202575746,4.5024024948413305e-07,0.25709598193913624,0.19789173242737085,0.06415824264786069,0.9999999997311388,0.55392119541757,0.13212391471692575,0.39593276617660983,13.15800371044024,0.9999999999999999
1.0,5205,45.0,99.0,20.0,0.11126108274181895,4.2274511570302264e-07,1.3524628900605744,0.1726208387999058,0.03996793261453891,0.9999999999999999,0.14011113972754424,0.03461383147620598,0.6249542422503881,3.2966118691599817,0.09728893163146009
